,word,len,freq,avg
941,zhou,4,5,0.0
942,dynasty,7,94,0.0
943,wen,3,2,0.6666666666666666
944,wang,4,8,0.0
945,added,5,71,0.0
946,sixth,5,140,0.0
947,string,6,32,0.0
948,mourn,5,1,0.6
949,bo,2,8,0.0
950,yihou,5,1,1.0
951,goh,3,4,0.0
952,chok,4,3,1.0
953,tong,4,6,0.0
954,appointed,9,155,0.0
955,senior,6,57,0.0
956,upon,4,119,0.0
957,handover,8,1,0.0
958,countrys,8,2,0.0
959,lee,3,91,0.0
960,hsien,5,3,0.0
961,loong,5,2,0.0
962,reporting,9,11,0.0
963,domestic,8,39,0.0
964,violence,8,18,0.0
965,heavily,7,35,0.0
966,stigmatized,11,1,1.0
967,armenian,8,31,0.0
968,society,7,79,0.0
969,choice,6,28,0.0
970,remain,6,23,0.6666666666666664
971,abusive,7,2,0.0
972,situations,10,10,0.0
973,shape,5,26,0.40000000000000013
974,size,4,71,0.0
975,glove,5,7,0.0
976,governed,8,25,0.0
977,rules,5,37,0.0
978,ninth,5,50,0.0
979,pole,4,50,0.0
980,finish,6,44,0.0
981,local,5,181,0.0
982,speech,6,32,0.0
983,typically,9,82,0.0
984,pronounced,10,39,0.0
985,dark,4,71,0.0
986,deep,4,42,0.0
987,l,1,89,0.0
988,characteristic,14,9,0.0
989,macedonian,10,7,0.0
990,greek,5,177,0.0
991,accent,6,1,0.0
992,ctesdunord,10,1,1.0
993,original,8,209,0.0
994,departments,11,19,0.0
995,created,7,249,0.0
996,french,6,309,0.0
997,revolution,10,65,0.0
998,election,8,183,0.0
999,hamilton,8,67,0.0
1000,worked,6,119,0.0
1001,rival,5,17,0.0
1002,democraticrepublican,20,2,0.0
1003,candidates,10,20,0.0
1004,own,3,151,0.6666666666666677
1005,nominee,7,22,0.0
1006,adams,5,52,0.0
1007,dakota,6,75,0.0
1008,extension,9,20,0.0
1009,centers,7,17,0.28571428571428564
1010,across,6,107,0.0
1011,encompass,9,4,0.0
1012,acres,5,12,0.39999999999999997
1013,km,2,180,0.0
1014,total,5,284,0.0
1015,body,4,171,0.0
1016,when,4,827,0.0
1017,chelated,8,1,0.0
1018,amino,5,18,0.0
1019,supplement,10,7,0.0
1020,explicit,8,10,0.0
1021,statement,9,18,0.0
1022,law,3,235,0.0
1023,thermodynamics,14,8,0.0
1024,rudolf,6,7,0.0
1025,clausius,8,2,1.0
1026,cyclic,6,2,0.0
1027,thermodynamic,13,2,0.0
1028,processes,9,15,0.0
1029,welsh,5,35,0.0
1030,springer,8,3,0.0
1031,spaniel,7,4,0.0
1032,active,6,82,0.0
